region_id,country_name,income_id,gdp,food_organic_waste_percent,glass_percent,metal_percent,other_percent,plastic_percent,population,e_waste_tons_year,total_solid_waste_generated_tons_year,waste_treatment_recycling_percent
LCN,Aruba,HIC,3056000000.00,NULL,NULL,NULL,0.00,NULL,103187.00,NULL,88132.02,11.00
SAS,Afghanistan,LIC,21413614653.00,NULL,NULL,NULL,0.00,NULL,34656032.00,20000.00,5628525.37,NULL
SSF,Angola,LMC,103042000000.00,51.80,6.70,4.40,23.40,13.50,25096150.00,92000.00,4213643.59,NULL
ECS,Albania,UMC,13471082475.00,51.40,4.50,4.80,29.71,9.60,2880703.00,20000.00,1142964.00,NULL
ECS,Andorra,HIC,3319880351.00,31.20,8.20,2.60,46.70,11.30,82431.00,NULL,43000.00,NULL
MEA,United Arab Emirates,HIC,384222000000.00,39.00,4.00,3.00,35.00,19.00,9269612.00,134000.00,5413453.41,20.00
LCN,Argentina,HIC,447518000000.00,38.74,3.16,1.84,41.62,14.61,42981515.00,291700.00,17910550.00,6.00
ECS,Armenia,UMC,11501998666.00,57.00,3.20,3.40,25.00,11.40,2906220.00,14000.00,492800.00,NULL
EAS,American Samoa,UMC,534555066.10,19.70,3.40,7.90,56.20,12.80,55599.00,NULL,18989.49,NULL
LCN,Antigua and Barbuda,HIC,1344373698.00,46.00,7.00,7.00,27.00,13.00,96777.00,1100.00,30585.00,NULL
EAS,Australia,HIC,1349300000000.00,48.44,3.81,19.38,20.76,7.61,23789338.00,574000.00,13300000.00,42.10
ECS,Austria,HIC,420040000000.00,31.40,7.00,4.40,46.10,11.10,8633169.00,166174.00,4840000.00,25.66
ECS,Azerbaijan,UMC,57195531762.00,45.19,5.28,3.49,38.17,7.87,9649341.00,63000.00,2930349.00,NULL
SSF,Burundi,LIC,2297241392.00,81.00,2.90,2.10,10.50,3.50,6741569.00,5000.00,1872016.00,NULL
ECS,Belgium,HIC,515103000000.00,14.18,3.10,1.91,66.73,13.94,11274196.00,603575.00,4710000.00,34.30
SSF,Benin,LIC,9102277423.00,52.10,1.60,1.60,37.40,7.30,5521763.00,8200.00,685936.01,25.00
SSF,Burkina Faso,LIC,12380518526.00,21.00,1.00,1.00,68.00,9.00,18110624.00,11000.00,2575251.11,12.00
SAS,Bangladesh,LMC,167771000000.00,80.58,0.44,0.50,13.81,4.67,155727053.00,142000.00,14778497.33,NULL
ECS,Bulgaria,UMC,56792405577.00,24.35,5.83,1.98,55.73,12.15,7177991.00,53785.00,3010000.00,19.03
MEA,Bahrain,HIC,31769062885.00,59.10,3.40,2.10,28.00,7.40,1425171.00,20000.00,951942.97,8.00
LCN,"Bahamas, The",HIC,10343803832.00,46.00,7.00,7.00,27.00,13.00,386838.00,4900.00,264000.00,NULL
ECS,Bosnia and Herzegovina,UMC,18929698720.00,NULL,NULL,NULL,100.00,NULL,3535961.00,1409.00,1248718.00,0.00
ECS,Belarus,UMC,59187019676.00,30.00,8.00,2.00,48.00,12.00,9489616.00,72000.00,4280000.00,16.00
LCN,Belize,UMC,1602671549.00,47.00,8.00,5.00,21.00,19.00,359288.00,2300.00,101378.83,NULL
LCN,Bolivia,LMC,26758341469.00,55.20,2.90,2.50,29.20,10.19,10724705.00,35392.00,2219052.00,12.11
LCN,Brazil,UMC,2256910000000.00,51.40,2.40,2.90,29.80,13.50,205962108.00,1411900.00,79889010.00,1.40
LCN,Barbados,HIC,4637855785.00,18.30,3.70,4.90,56.10,17.10,280601.00,3800.00,174815.44,9.00
EAS,Brunei Darussalam,HIC,13301457675.00,36.00,3.00,4.00,41.00,16.00,423196.00,7700.00,216253.16,NULL
SAS,Bhutan,LMC,2234759342.00,58.00,4.00,1.00,24.00,13.00,686958.00,1457.50,111314.05,0.86
SSF,Botswana,UMC,16843294913.00,8.10,NULL,0.10,91.90,NULL,2014866.00,16000.00,210854.44,1.00
SSF,Central African Republic,LIC,1496562092.00,NULL,NULL,NULL,0.00,NULL,4515392.00,2700.00,1105983.00,NULL
NAC,Canada,HIC,1828000000000.00,24.00,6.00,13.00,55.00,3.00,35544564.00,724000.00,25103034.00,20.59
ECS,Switzerland,HIC,642090000000.00,29.00,4.00,3.00,49.00,15.00,8372098.00,184000.00,6060000.00,32.00
LCN,Chile,HIC,267904000000.00,53.30,6.60,2.30,28.40,9.40,16829442.00,176000.00,6520000.00,0.37
EAS,China,UMC,9505160000000.00,61.20,2.10,1.10,25.80,9.80,1370000000.00,7210000.00,210000000.00,NULL
SSF,Ivory Coast,LMC,36796468787.00,NULL,NULL,NULL,0.00,NULL,20401331.00,22000.00,4440814.27,3.00
SSF,Cameroon,LMC,35051979601.00,83.40,0.10,0.70,12.50,3.30,21655715.00,19000.00,3270616.59,0.40
SSF,"Congo, Dem. Rep.",LIC,32089998961.00,NULL,NULL,NULL,0.00,NULL,78736153.00,NULL,14385226.02,4.90
SSF,"Congo, Rep.",LMC,14205686708.00,NULL,NULL,NULL,0.00,NULL,2648507.00,NULL,451200.00,26.20
LCN,Colombia,UMC,366457000000.00,59.58,2.35,1.10,24.14,12.83,46406646.00,252200.00,12150120.00,17.20
SSF,Comoros,LIC,611370805.20,50.00,2.00,4.00,39.00,5.00,777424.00,600.00,91013.00,NULL
SSF,Cabo Verde,LMC,1860165515.00,NULL,NULL,NULL,0.00,NULL,513979.00,2400.00,132555.00,NULL
LCN,Costa Rica,UMC,46551438317.00,58.00,1.00,2.00,28.00,11.00,4757575.00,35800.00,1460000.00,1.26
LCN,Cuba,UMC,100000000000.00,68.90,4.60,1.60,15.30,9.60,11303687.00,NULL,2692691.98,9.49
LCN,Curacao,HIC,3128000000.00,NULL,NULL,NULL,0.00,NULL,153822.00,NULL,24703.81,2.00
ECS,Cyprus,HIC,24311614955.00,41.47,2.66,3.25,37.85,14.77,1160985.00,18137.00,541000.00,13.31
ECS,Czech Republic,HIC,231340000000.00,62.30,2.40,8.40,24.70,2.20,10546059.00,79581.00,3340000.00,25.50
ECS,Germany,HIC,3781700000000.00,30.00,10.00,1.40,45.70,13.00,81686611.00,2465085.00,51000000.00,47.83
MEA,Djibouti,LMC,3013000000.00,NULL,NULL,NULL,0.00,NULL,746221.00,900.00,114997.25,NULL
LCN,Dominica,UMC,506021862.90,45.00,8.00,5.00,26.00,16.00,72400.00,NULL,13176.00,NULL
ECS,Denmark,HIC,347520000000.00,12.78,5.78,6.29,73.54,1.61,5683483.00,168614.00,4490000.00,27.27
LCN,Dominican Republic,UMC,73664129265.00,51.00,6.00,3.00,30.00,10.00,10528394.00,57000.00,4063910.00,8.20
MEA,Algeria,UMC,196035000000.00,54.40,1.20,2.80,24.70,16.90,40606052.00,252000.00,12378740.00,8.00
LCN,Ecuador,UMC,85056519293.00,58.67,3.01,1.53,25.34,11.44,16144368.00,73000.00,5297211.14,12.90
MEA,"Egypt, Arab Rep.",LMC,260816000000.00,56.00,4.00,2.00,25.00,13.00,87813257.00,497000.00,21000000.00,12.50
SSF,Eritrea,LIC,2006000000.00,NULL,NULL,NULL,0.00,NULL,4474690.00,3800.00,726957.37,NULL
ECS,Spain,HIC,1464510000000.00,49.00,8.00,3.00,31.00,9.00,46447697.00,1202597.00,20200000.00,16.84
ECS,Estonia,HIC,23808677023.00,36.70,8.30,2.60,33.80,18.60,1315407.00,34312.00,473000.00,24.74
SSF,Ethiopia,LIC,52347226230.00,87.60,0.80,1.20,8.20,2.30,99873033.00,49000.00,6532786.97,NULL
ECS,Finland,HIC,252692000000.00,35.88,9.24,1.70,51.69,1.45,5479531.00,212954.00,2740000.00,28.12
EAS,Fiji,UMC,3771168286.00,33.20,4.10,1.90,53.30,7.50,867086.00,4600.00,189389.59,5.45
ECS,France,HIC,2806040000000.00,32.00,10.00,3.00,46.00,9.00,66624068.00,2218682.00,33400000.00,22.26
EAS,"Micronesia, Fed. Sts.",LMC,296282644.00,23.83,7.07,16.73,26.20,26.17,104937.00,200.00,26039.57,NULL
SSF,Gabon,UMC,18912467101.00,NULL,NULL,NULL,0.00,NULL,1086137.00,14000.00,238102.31,NULL
ECS,United Kingdom,HIC,2757620000000.00,16.70,2.20,3.50,57.40,20.20,65128861.00,3584126.00,31600000.00,27.25
ECS,Georgia,LMC,15189614351.00,39.00,3.00,5.00,50.00,3.00,3717100.00,21000.00,800000.00,NULL
