region_id,country_name,income_id,gdp,food_organic_waste_percent,glass_percent,metal_percent,other_percent,plastic_percent,population,e_waste_tons_year,total_solid_waste_generated_tons_year,waste_treatment_recycling_percent,msw_per_capita,gdp_per_capita,ewaste_per_capita,msw_gdp_ratio,mswpc_gdppc_ratio,ewaste_gdp_ratio,ewastepc_gdppc_ratio
LCN,Aruba,HIC,3056000000.0,,,,0.0,,103187.0,,88132.02,11.0,0.8541000319807728,29616.13381530619,,2.8839011780104713e-05,2.8839011780104713e-05,,
SAS,Afghanistan,LIC,21413614653.0,,,,0.0,,34656032.0,20000.0,5628525.37,,0.1624111314878749,617.8899723141992,0.0005771001134809664,0.00026284798065194737,0.0002628479806519473,9.339852390216635e-07,9.339852390216635e-07
SSF,Angola,LMC,103042000000.0,51.8,6.7,4.4,23.4,13.5,25096150.0,92000.0,4213643.59,,0.16790000019923373,4105.888751860345,0.003665900944965662,4.08924864618311e-05,4.08924864618311e-05,8.928398128918306e-07,8.928398128918305e-07
ECS,Albania,UMC,13471082475.0,51.4,4.5,4.8,29.71,9.6,2880703.0,20000.0,1142964.0,,0.3967656506068137,4676.317716543496,0.006942749738518688,8.484574288080736e-05,8.484574288080736e-05,1.4846616845466237e-06,1.4846616845466237e-06
ECS,Andorra,HIC,3319880351.0,31.2,8.2,2.6,46.7,11.3,82431.0,,43000.0,,0.5216484089723527,40274.6582111099,,1.2952274014046237e-05,1.2952274014046237e-05,,
MEA,United Arab Emirates,HIC,384222000000.0,39.0,4.0,3.0,35.0,19.0,9269612.0,134000.0,5413453.41,20.0,0.5840000002157588,41449.63133300509,0.014455836986488755,1.4089389493574028e-05,1.408938949357403e-05,3.4875670836131194e-07,3.4875670836131194e-07
LCN,Argentina,HIC,447518000000.0,38.74,3.16,1.84,41.62,14.61,42981515.0,291700.0,17910550.0,6.0,0.4167035526784014,10411.871242788906,0.006786638395598666,4.0021965596914535e-05,4.002196559691454e-05,6.518173570672018e-07,6.518173570672018e-07
ECS,Armenia,UMC,11501998666.0,57.0,3.2,3.4,25.0,11.4,2906220.0,14000.0,492800.0,,0.16956734177040966,3957.717814205394,0.004817254027568457,4.2844727626053436e-05,4.2844727626053436e-05,1.2171797621037908e-06,1.217179762103791e-06
EAS,American Samoa,UMC,534555066.1,19.7,3.4,7.9,56.2,12.8,55599.0,,18989.49,,0.3415437328009497,9614.472672170363,,3.552391737401963e-05,3.552391737401963e-05,,
LCN,Antigua and Barbuda,HIC,1344373698.0,46.0,7.0,7.0,27.0,13.0,96777.0,1100.0,30585.0,,0.31603583496078613,13891.458693697883,0.011366337042892423,2.2750370708308815e-05,2.2750370708308815e-05,8.182248742566518e-07,8.182248742566518e-07
EAS,Australia,HIC,1349300000000.0,48.44,3.81,19.38,20.76,7.61,23789338.0,574000.0,13300000.0,42.1,0.5590739851609153,56718.68632914459,0.024128456201681612,9.856962869636108e-06,9.856962869636108e-06,4.2540576595271623e-07,4.254057659527163e-07
ECS,Austria,HIC,420040000000.0,31.4,7.0,4.4,46.1,11.1,8633169.0,166174.0,4840000.0,25.66,0.5606284320392663,48654.20797392012,0.019248320054895254,1.1522712122654986e-05,1.1522712122654986e-05,3.956147033615846e-07,3.9561470336158465e-07
ECS,Azerbaijan,UMC,57195531762.0,45.19,5.28,3.49,38.17,7.87,9649341.0,63000.0,2930349.0,,0.3036838474254356,5927.4028933167565,0.006528943271877323,5.123387981064086e-05,5.123387981064086e-05,1.1014846450270511e-06,1.1014846450270511e-06
SSF,Burundi,LIC,2297241392.0,81.0,2.9,2.1,10.5,3.5,6741569.0,5000.0,1872016.0,,0.2776825394800528,340.75767703334344,0.0007416671104308211,0.0008148973836703357,0.0008148973836703356,2.1765235544737217e-06,2.1765235544737213e-06
ECS,Belgium,HIC,515103000000.0,14.18,3.1,1.91,66.73,13.94,11274196.0,603575.0,4710000.0,34.3,0.41776814949819924,45688.668176426945,0.053535968329803736,9.143802307499664e-06,9.143802307499666e-06,1.171755940074121e-06,1.171755940074121e-06
SSF,Benin,LIC,9102277423.0,52.1,1.6,1.6,37.4,7.3,5521763.0,8200.0,685936.01,25.0,0.12422409473206293,1648.4368168282485,0.0014850329505268517,7.53587237702456e-05,7.53587237702456e-05,9.008734428682552e-07,9.008734428682553e-07
SSF,Burkina Faso,LIC,12380518526.0,21.0,1.0,1.0,68.0,9.0,18110624.0,11000.0,2575251.11,12.0,0.1421956035308336,683.6052985253297,0.0006073782990580557,0.00020800834024776774,0.00020800834024776774,8.884926731379781e-07,8.884926731379781e-07
SAS,Bangladesh,LMC,167771000000.0,80.58,0.44,0.5,13.81,4.67,155727053.0,142000.0,14778497.33,,0.09490000000192644,1077.3401073736366,0.000911851841182662,8.808731741480947e-05,8.808731741480947e-05,8.463918078809806e-07,8.463918078809806e-07
ECS,Bulgaria,UMC,56792405577.0,24.35,5.83,1.98,55.73,12.15,7177991.0,53785.0,3010000.0,19.03,0.41933738841411194,7912.019613426653,0.00749304366639635,5.300004409777988e-05,5.300004409777988e-05,9.470456384714587e-07,9.470456384714588e-07
MEA,Bahrain,HIC,31769062885.0,59.1,3.4,2.1,28.0,7.4,1425171.0,20000.0,951942.97,8.0,0.6679500003859186,22291.404249033974,0.014033403710852944,2.9964464908704216e-05,2.9964464908704216e-05,6.295432783899695e-07,6.295432783899695e-07
LCN,The Bahamas,HIC,10343803832.0,46.0,7.0,7.0,27.0,13.0,386838.0,4900.0,264000.0,,0.6824562219843966,26739.368500509256,0.012666801089861906,2.5522525783336995e-05,2.5522525783336995e-05,4.7371354673617907e-07,4.7371354673617907e-07
